Sponsors,State,Number
Fred Shanks,Mississippi,"['HB1127', 'HB1480']"
Frederick Frazier,Texas,"['HB1686', 'HB23', 'HB3164']"
Garland Barr,US,['HB734']
Garret Graves,US,['HB5']
Gary Boswell,Kentucky,"['SB115', 'SB150', 'SB102']"
Gary Brewer,South Carolina,['H3197']
Gary Byrne,Indiana,"['HB1608', 'SB0480', 'SB0351', 'SB0413']"
Gary Click,Ohio,"['HB68', 'HB6']"
Gary Gates,Texas,"['HB1155', 'HB1686', 'HB23', 'HB3164']"
Gary Howell,West Virginia,['HB3176']
Gary Stubblefield,Arkansas,"['SB199', 'SB294', 'SB43', 'HB1615']"
Gary Vandeaver,Texas,"['HB1686', 'HB23', 'HB3164']"
Geanie Morrison,Texas,"['HB1686', 'HB23']"
Gene Newman,Mississippi,['HB1125']
Geno Chiarelli,West Virginia,"['HB2007', 'HB2923', 'HB2972', 'HB2998', 'HB3001']"
Geoff Foster,West Virginia,"['HB2007', 'HB3097']"
George Burns,Oklahoma,"['SB129', 'SB613', 'SB131', 'SB250', 'SB251', 'SB252', 'SB30']"
George Campsen,South Carolina,['S0234']
George Cleveland,North Carolina,['H43']
George Santos,US,"['HB734', 'HR115', 'HB5']"
George Wise,Kentucky,['SB150']
Gerard Scharfenberger,New Jersey,"['A1418', 'A1630']"
Gex Williams,Kentucky,"['SB115', 'SB150', 'SB102']"
Gil Gatch,South Carolina,['H3197']
Ginny Ehrhart,Georgia,['HB653']
Gino Bulso,Tennessee,"['HB0001', 'HB0009', 'HB0239', 'HB0306', 'HB0878']"
Giovanni Capriglione,Texas,"['HB1686', 'HB23', 'HB3164']"
Glenn Grothman,US,"['HB1276', 'HB1399', 'HB5']"
Glenn Gruenhagen,Minnesota,"['SF311', 'SF933']"
Glenn Rogers,Texas,"['HB1686', 'HB23', 'HB888']"
Glenn Thompson,US,['HB5']
Glenneda Zuiderveld,Idaho,['H0071']
Gordon Rogers,Rhode Island,['S0487']
Grant Hodges,Arkansas,['SB294']
Greg Bonnen,Texas,"['HB1686', 'HB23', 'HB4378']"
Greg Dolezal,Georgia,['SB141']
Greg Murphy,US,['HB734']
Greg Steube,US,"['HB734', 'HR115', 'HB1399', 'HB5', 'HB985']"
Greg Vital,Tennessee,"['HB0001', 'HB0009']"
Greg Walker,Indiana,['SB0480']
Gregory McGuckin,New Jersey,"['A1418', 'A1630']"
Guy Reschenthaler,US,['HB5']
Guy Ward,West Virginia,['HB2007']
Hardy Billington,Missouri,['HB1258']
Harlan Breaux,Arkansas,"['SB294', 'HB1468']"
Harlan Vincent,New Mexico,"['HB490', 'HB492', 'HM57']"
Harold Corbin,North Carolina,['S49']
Harriet Hageman,US,"['HB734', 'HR115', 'HB1399', 'HB5']"
Harry Niska,Minnesota,['HF551']
Health And Human Services,Iowa,['SF538']
Health Policy,Florida,['S0254']
Healthcare Regulation Subcommittee,Florida,['H1421']
Heather Crawford,South Carolina,"['H3551', 'H3551']"
Heather Hora,Iowa,['HF2']
Heather Scott,Idaho,['H0071']
Helena Hayes,Iowa,['HF482']
Henry Dillon,West Virginia,"['HB3176', 'HB3183']"
Henry Stone,Iowa,['HF2']
Holly Thompson Rehder,Missouri,"['SB39', 'SB49']"
Howard Beaty,Arkansas,['SB294']
Howard Pearl,New Hampshire,['SB272']
Hugh Shine,Texas,"['HB1686', 'HB23']"
Hyland Fowler,Virginia,['HB1387']
Iris Rudder,Tennessee,['HB0001']
J.D. Vance,US,['SB635']
J.M. Lozano,Texas,"['HB1155', 'HB1686', 'HB23']"
Jacey Jetton,Texas,"['HB1686', 'HB23', 'HB3164']"
Jack Bergman,US,['HB734']
Jack Fortner,Arkansas,['SB294']
Jack Johnson,Tennessee,"['SB0001', 'SB0003', 'SB1469']"
Jack Ladyman,Arkansas,"['HB1156', 'SB43']"
Jack Sandlin,Indiana,"['SB0480', 'SB0351']"
Jacob Bossman,Iowa,['HF2']
Jacob Justice,Kentucky,['HB177']
Jacob Laturner,US,['HB5']
Jacyn Gallagher,Idaho,['H0071']
Jake Ellzey,US,"['HB734', 'HR115', 'HB5']"
Jake Hoffman,Arizona,['SB1694']
Jake Johnson,North Carolina,['H43']
Jake McCalmon,Tennessee,"['HB0001', 'HB0009', 'HB0030', 'HB0878']"
Jake Teshka,Indiana,"['HB1608', 'SB0480', 'HB1220', 'HB1346']"
James Adams,North Carolina,['H43']
James Baird,US,['HB5']
James Buck,Indiana,['SB0480']
James Burns,South Carolina,"['H3728', 'H3197', 'H3485', 'H3551', 'H3551', 'H3564', 'H3565', 'H3827']"
James Clampitt,North Carolina,['H43']
James Comer,US,['HB734']
James DeSana,Michigan,['HB4257']
James Edmunds,Virginia,['HB1387']
James Frank,Texas,"['HB1686', 'HB23', 'HB3164']"
James Gray,New Hampshire,['SB272']
James Hieb,Oregon,"['HB3137', 'SB897']"
James Holzapfel,New Jersey,['S589']
James Hoops,Ohio,['HB68']
James Kasper,North Dakota,"['HB1249', 'HB1297', 'HB1474']"
James Lankford,US,['SB635']
James Ohrenschall,Nevada,['SB302']
James Risch,US,['SB200']
James Spillane,New Hampshire,['HB619']
James Tipton,Kentucky,"['HB470', 'HB177', 'HB30']"
James Tomes,Indiana,['SB0480']
James Townsend,New Mexico,['HB490']
James White,Maine,['LD678']
Jami Cate,Oregon,['SB897']
Jamie Burger,Missouri,['HB183']
Jane English,Arkansas,['SB294']
Janie Lopez,Texas,"['HB1155', 'HB1686', 'HB23']"
Janince Bowling,Tennessee,"['SB1440', 'SB0001', 'SB0003', 'SB0005']"
Janne Myrdal,North Dakota,"['HB1249', 'HB1254', 'HB1297', 'HB1489']"
Jared Olsen,Wyoming,"['SF0111', 'SF0159']"
Jared Patterson,Texas,"['HB1155', 'HB1686', 'HB23', 'HB3164', 'HB436', 'HB643', 'HB4961']"
Jaron Crane,Idaho,['H0071']
Jason Anavitarte,Georgia,['SB140']
Jason Ballard,Virginia,['HB1387']
Jason Barrett,Mississippi,['SB2760']
Jason Bean,Missouri,"['SB39', 'SB49']"
Jason Buckel,Maryland,['HB359']
Jason Elliott,South Carolina,['H3728']
Jason Petrie,Kentucky,"['HB470', 'HB177', 'HB30']"
Jason Smith,US,['HB734']
Jason Zachary,Tennessee,"['HB0001', 'HB0009', 'HB0878']"
Jay Dean,Texas,"['HB1155', 'HB1686', 'HB23']"
Jay Edwards,Ohio,['HB68']
Jay Jacobs,Maryland,['HB359']
Jay Kilmartin,South Carolina,"['H3197', 'H3485', 'H3551', 'H3551']"
Jay Reedy,Tennessee,"['HB0001', 'HB0009', 'HB0571']"
Jay Taylor,West Virginia,"['SB692', 'SB697']"
Jay Webber,New Jersey,['A3883']
Jean Schmidt,Ohio,['HB6']
Jeanette Ward,Wyoming,"['SF0159', 'SF0172']"
Jeanine Notter,New Hampshire,"['HB396', 'HB619']"
Jeb Bradley,New Hampshire,['SB272']
Jeff Cornilles,Idaho,['H0071']
Jeff Duncan,US,"['HB429', 'HB734', 'HR115', 'HB1399', 'HB5']"
Jeff Ghrist,Maryland,['HB359']
Jeff Hale,Mississippi,['HB1127']
Jeff Hoverson,North Dakota,"['HB1526', 'HB1473']"
Jeff Howe,Minnesota,['SF933']
Jeff LaRe,Ohio,['HB6']
Jeff Leach,Texas,"['HB1155', 'HB1686', 'HB23', 'HB3502', 'HB888']"
Jeff Raatz,Indiana,"['HB1407', 'HB1608', 'SB0480', 'SB0354']"
Jeff Reichman,Iowa,['SF83']
Jeff Shipley,Iowa,"['HF2', 'HF325']"
Jeff Tate,Mississippi,"['SB2760', 'SB2770']"
Jeff Taylor,Iowa,"['SF83', 'SF110']"
Jeff Van Drew,US,"['HB216', 'HB734', 'HB5']"
Jeff Wardlaw,Arkansas,['SB294']
Jeffery Magrum,North Dakota,['HB1332']
Jeffrey Bradley,South Carolina,['H3728']
Jeffrey McNeely,North Carolina,['H43']
Jena Powell,Ohio,"['HB68', 'HB6']"
Jenifer Jones,New Mexico,['HM57']
Jennifer Branning,Mississippi,"['SB2760', 'SB2773']"
Jennifer Gross,Ohio,"['HB68', 'HB6']"
Jennifer Henson Decker,Kentucky,"['HB470', 'HB173', 'HB177', 'HB30']"
Jenniffer Gonzalez-Colon,US,['HB734']
Jenny Graham,Washington,['HB1233']
Jeremiah Moore,Arkansas,['SB294']
Jeremy England,Mississippi,['SB2760']
Jeremy Faison,Tennessee,"['HB0001', 'HB1269', 'HB1447']"
Jeremy Haroldson,Wyoming,"['SF0159', 'SF0172', 'SF0133']"
Jerome Moon,Tennessee,"['HB0001', 'HB0009', 'HB0878']"
Jerry Carl,US,"['HB734', 'HB5']"
Jerry Darnell,Mississippi,['HB1127']
Jerry Turner,Mississippi,['HB1127']
Jesse Green,Iowa,"['SF83', 'SF110']"
Jessica Bahmuller,South Dakota,['HB1080']
Jessica Baker,Florida,['H1223']
Jessica Garvin,Oklahoma,"['HB1449', 'SB408']"
Jill Carter,Missouri,"['SB39', 'SB49', 'SB164', 'SB165', 'SB429', 'SB430', 'SB436']"
Jill Ford,Mississippi,"['HB1074', 'HB1124', 'HB509', 'HB1125']"
Jim Banks,US,"['HB1276', 'HB734', 'HR115', 'HB1064', 'HB1112', 'HB5']"
Jim Bolin,South Dakota,['HB1080']
Jim Dotson,Arkansas,"['SB294', 'SB125']"
Jim Gooch,Kentucky,"['HB470', 'HB177', 'HB30']"
Jim Hinebaugh,Maryland,['HB359']
Jim Kofalt,New Hampshire,['HB396']
Jim Mehlhaff,South Dakota,"['HB1116', 'HB1125']"
Jim Olsen,Oklahoma,"['HB2186', 'HB2177', 'HB1011']"
Jim Perry,North Carolina,['S49']
Jim Petty,Arkansas,['SB294']
Jim Stalzer,South Dakota,"['HB1125', 'HB1080']"
Jim Thomas,Ohio,['HB6']
Jim Walsh,Washington,"['HB1214', 'HB1233']"
Jimmie Gazaway,Arkansas,['HB1615']
Joan Huffman,Texas,['SB15']
Joanna King,Indiana,"['HB1569', 'SB0480', 'HB1346']"
Jody Arrington,US,['HB734']
Jody Barrett,Tennessee,"['HB0009', 'HB0239', 'HB0878', 'HB0571']"
Joe Alfieri,Idaho,['H0071']
Joe Hamm,Pennsylvania,['HB138']
Joe Hoxha,Connecticut,['HB06331']
Joe Pike,North Carolina,['H43']
Joe White,South Carolina,"['H3485', 'H3551', 'H3551']"
Joe Wilson,US,['HB5']
Joel Carter,Mississippi,['SB2760']
Joel Fry,Iowa,['HF2']
Joel McEntire,Washington,['HB1233']
Joey Carr,Arkansas,['HB1468']
Joey Fillingane,Mississippi,['SB2760']
John Albers,Georgia,"['SB140', 'SB141', 'SB88']"
John Andrews,Maine,['LD678']
John Bear,Wyoming,['SF0159']
John Block,New Mexico,"['HB394', 'HB490', 'HB492']"
John Carr,Arkansas,['SB294']
John Carter,US,['HB734']
John Catalano,New Jersey,"['A1418', 'A1630']"
John Cosgrove,Virginia,['SB911']
John Crane,Indiana,['SB0480']
John Crawford,Tennessee,['HB0001']
John Curtis,US,['HB734']
John DiMaio,New Jersey,['A1418']
John Fuller,Montana,['SB99']
John Hodgson,Kentucky,"['HB470', 'HB173', 'HB177', 'HB30', 'HB58']"
John Holsclaw,Tennessee,['HB0001']
John Johnson,Utah,['SB0283']
John Joyce,US,['HB5']
John Kavanagh,Arizona,"['SB1001', 'SB1026', 'SB1040']"
John Kennedy,Georgia,['SB140']
John Kolb,Wyoming,['SF0133']
John Kuempel,Texas,"['HB1686', 'HB23']"
John Lamar,Mississippi,['HB1126']
John Lujan,Texas,"['HB1155', 'HB1686', 'HB23', 'HB3164']"
John Maddox,Arkansas,['SB294']
John McGuire,Virginia,"['HB1387', 'HB2432']"
John Mccravy,South Carolina,"['H3728', 'H3197', 'H3485', 'H3551', 'H3551']"
John Mills,South Dakota,"['HB1116', 'HB1125', 'HB1080']"
John Moolenaar,US,['HB5']
John Payton,Arkansas,"['SB270', 'SB294']"
John Prescott,Indiana,['HB1231']
John Ragan,Tennessee,"['HB0001', 'HB0009', 'HB0030', 'HB0878', 'HB1378']"
John Raney,Texas,"['HB1686', 'HB23']"
John Rose,US,['HB734']
John Rutherford,US,['HB5']
John Schickel,Kentucky,['SB150']
John Sjaarda,South Dakota,"['HB1116', 'HB1125', 'HB1208', 'HB1080']"
John Smithee,Texas,"['HB1686', 'HB23']"
John Stevens,Tennessee,"['SB1440', 'SB0001', 'SB0003']"
John West,South Carolina,['H3728']
John Wiik,South Dakota,['HB1080']
John Winter,Wyoming,['SF0144']
Johnnie Turner,Kentucky,['SB102']
Johnny Garrett,Tennessee,"['HB0001', 'HB0030']"
Johnny Rye,Arkansas,"['SB294', 'SB43', 'HB1468']"
Jon Eubanks,Arkansas,['SB294']
Jon Hansen,South Dakota,"['HB1116', 'HB1125', 'HB1080']"
Jon Lancaster,Mississippi,"['HB1127', 'HB456']"
Jon Milligan,Arkansas,"['SB294', 'HB1468', 'HB1615']"
Jonathan Dismang,Arkansas,['SB294']
Jonathan Pinson,West Virginia,['HB2923']
Jordan Maynor,West Virginia,['HB2007']
Jordan Pace,South Carolina,"['H3197', 'H3485', 'H3551', 'H3551', 'H3565', 'H3616']"
Jordan Redman,Idaho,['H0071']
Joseph Bustos,South Carolina,['H3197']
Joseph Chaplik,Arizona,['HB2711']
Joseph D'Orsie,Pennsylvania,['HB138']
Joseph Fox,Michigan,"['HB4195', 'HB4257']"
Joseph Hensley,Tennessee,"['SB0001', 'SB0003', 'SB0603', 'SB0841', 'SB1237', 'SB1339']"
Joseph Pennacchio,New Jersey,['S585']
Joseph Seymour,Mississippi,"['SB2760', 'SB2765']"
Josh Bonner,Georgia,"['SB140', 'HB653']"
Josh Calloway,Kentucky,"['HB470', 'HB173', 'HB177', 'HB30', 'HB58']"
Josh Hawley,US,['SB457']
Josh Miller,Arkansas,['HB1156']
Josh Williams,Ohio,['HB68']
Joshua Branscum,Kentucky,['HB177']
Joshua Bryant,Arkansas,"['SB294', 'SB43']"
Joshua Kimbrell,South Carolina,"['S0234', 'S0243', 'S0623']"
Joshua Meggers,Iowa,['HF2']
Joyce Krawiec,North Carolina,['S49']
Juan Ciscomani,US,['HB734']
Judiciary,Idaho,['H0071']
Judiciary,Iowa,"['HF622', 'HF623']"
Judy Aron,New Hampshire,['HB396']
Judy Estenson,North Dakota,"['HB1249', 'HB1254', 'HB1333', 'HB1489']"
Julia Letlow,US,['HB5']
Julian Garrett,Iowa,['SF83']
Julianne Young,Idaho,['H0071']
Julie Auch,South Dakota,"['HB1116', 'HB1125', 'HB1080']"
Julie Daniels,Oklahoma,"['HB2546', 'SB408', 'SB613', 'SB614']"
Julie Frye-Mueller,South Dakota,"['HB1116', 'HB1125', 'HB1208', 'HCR6008', 'HB1080']"
Julie McGuire,Indiana,['HB1589']
Julie Pazina,Nevada,['SB302']
Justin Boyd,Arkansas,['SB294']
Justin Gonzales,Arkansas,['SB294']
Justin Heap,Arizona,['SB1694']
Justin Holland,Texas,"['HB1686', 'HB23']"
Justin Lafferty,Tennessee,['HB0571']
Justin Pearson,Tennessee,['HB1339']
Justin Sparks,Missouri,"['HB1332', 'HB1333', 'HB540']"
Justine Wadsack,Arizona,"['SB1694', 'SB1700', 'HB2312', 'SB1698', 'SB1702']"
Karen Anderson,North Dakota,"['SB2199', 'SB2199', 'HCR3010']"
Karen Greenhalgh,Virginia,['HB1387']
Karen Karls,North Dakota,['SB2231']
Karen Rohr,North Dakota,"['HB1332', 'HB1254', 'HB1297', 'HCR3010']"
Karilyn Brown,Arkansas,"['HB1156', 'SB294']"
Karla Eslinger,Missouri,"['SB39', 'SB49']"
Karla Lems,South Dakota,"['HB1116', 'HB1125', 'HB1080']"
Kat Cammack,US,"['HB734', 'HB5']"
Katherine Prudhomme-O'Brien,New Hampshire,['HB396']
Kathie Crouse,West Virginia,['HB3097']
Kathleen Kauth,Nebraska,"['LB574', 'LB575', 'LB743']"
Kathy Byron,Virginia,['HB1387']
Kathy Chism,Mississippi,"['SB2760', 'SB2765', 'SB2861', 'SB2864']"
Kathy Frelich,North Dakota,['HB1333']
Kathy Landing,South Carolina,"['H3728', 'H3197', 'H3551', 'H3551']"
Kathy Szeliga,Maryland,['HB359']
Katie Boyd Britt,US,['SR53']
Katrina Smith,Maine,['LD678']
Katy Hall,Utah,['SB0016']
Kay Kirkpatrick,Georgia,['SB140']
Keith Ammon,New Hampshire,['HB396']
Keith Bell,Texas,"['HB1686', 'HB23']"
Keith Boehm,North Dakota,"['HB1301', 'HB1249', 'HB1254', 'HB1297', 'HB1474']"
Keith Brooks,Arkansas,['SB294']
Keith Kidwell,North Carolina,['H43']
Keith Murphy,New Hampshire,['SB272']
Keith Perry,Florida,"['S0254', 'S1320', 'S1674']"
Keith Self,US,['HB734']
Kelby Timmons,North Dakota,"['HB1526', 'HB1522']"
Kelly Hancock,Texas,['SB15']
Kelly Keisling,Tennessee,"['HB0001', 'HB0009', 'HB0030']"
Ken Buck,US,['HB734']
Ken Calvert,US,['HB5']
Ken Fontenot,North Carolina,['H43']
Ken King,Texas,"['HB1686', 'HB23']"
Ken Morgan,Mississippi,['HB1127']
Ken Pendergraft,Wyoming,"['HB0234', 'SF0172']"
Ken Rozenboom,Iowa,['SF83']
Ken Upchurch,Kentucky,['HB470']
Ken Yager,Tennessee,"['SB0001', 'SB0003']"
Kendon Underwood,Arkansas,"['SB294', 'HB1615']"
Kenneth Davis,Maine,['LD678']
Kenny Wroten,Idaho,['H0071']
Kent Weston,North Dakota,"['SB2199', 'SB2199', 'HB1522']"
Kerry Roberts,Tennessee,"['SB1440', 'SB0003']"
Kevin Alons,Iowa,"['SF83', 'SF110']"
Kevin Andrus,Idaho,['H0071']
Kevin Avard,New Hampshire,"['HB396', 'SB272']"
Kevin Blackwell,Mississippi,['SB2760']
Kevin Crutchfield,North Carolina,['H43']
Kevin Ford,Mississippi,['HB1127']
Kevin Hern,US,"['HR115', 'HB1399', 'HB5']"
Kevin Hornberger,Maryland,['HB359']
Kevin Jackson,Kentucky,['HB30']
Kevin Jensen,South Dakota,"['HB1116', 'HB1125', 'HB1080']"
Kevin Mannix,Oregon,['SB897']
Kevin McDugle,Oklahoma,['HB2186']
Kevin Miller,Ohio,"['HB68', 'HB6']"
Kevin Raper,Tennessee,"['HB0001', 'HB0009']"
Kevin Sparks,Texas,['SB15']
Kevin Verville,New Hampshire,['HB619']
Kevin West,Oklahoma,"['HB2186', 'SB129', 'HB2177']"
Kim Hammer,Arkansas,"['SB294', 'SB43']"
Kim King,Kentucky,['HB470']
Kim Thatcher,Oregon,['SB897']
Kimberly Wallan,Oregon,['HB2477']
Kip Capley,Tennessee,"['HB0001', 'HB0009', 'HB0239', 'HB0030', 'HB0878', 'HB0571']"
Kirk Haston,Tennessee,"['HB0001', 'HB0009']"
Kris Jordan,Ohio,"['HB68', 'HB6']"
Kristin Robbins,Minnesota,['HF551']
Kronda Thimesch,Texas,"['HB1686', 'HB23', 'HB3164']"
Kyle Kacal,Texas,"['HB1686', 'HB23']"
Lacey Hull,Texas,"['HB1155', 'HB1686', 'HB23', 'HB3164']"
Lance Clow,Idaho,['H0071']
Lance Gooden,US,"['HB734', 'HB1399', 'HB5']"
Lane Allred,Wyoming,"['SF0117', 'SF0133']"
Larry Bellew,North Dakota,"['HB1254', 'HB1473']"
Larry Bucshon,US,['HB5']
Larry Hicks,Wyoming,['SF0172']
Larry Kump,West Virginia,['HB3176']
Larry Luick,North Dakota,"['HB1254', 'SB2231']"
Larry Walker,Georgia,['SB140']
Larry Zikmund,South Dakota,['HB1080']
Laurel Lee,US,['HB5']
Lauren Arikan,Maryland,['HB359']
Lauren Boebert,US,"['HB734', 'HB1112', 'HB5', 'HB985']"
Lawrence Grooms,South Carolina,"['S0234', 'S0424']"
Lawrence Klemin,North Dakota,['HB1333']
Lee Anderson,Georgia,"['SB140', 'SB141', 'SB88']"
Lee Johnson,Arkansas,['SB294']
Lester Carpenter,Mississippi,['HB1127']
Lily Morgan,Oregon,['SB897']
Linda Rogers,Indiana,['SB0480']
Lindsay Patterson,Indiana,['HB1407']
Lindsey Graham,US,['SB200']
Lindsey Tichenor,Kentucky,"['SB115', 'SB150', 'SB102']"
Lisa Barnes,North Carolina,['S49']
Lisa Frizell,Colorado,['HB1098']
Lisa Keim,Maine,['LD678']
Lisa McClain,US,['HB736']
Lisa Meier,North Dakota,"['HB1249', 'HB1489', 'HCR3010']"
Liz Harris,Arizona,['HB2312']
Lloyd Smucker,US,['HB5']
Lois Kolkhorst,Texas,"['SB476', 'SB625', 'SB649', 'SB14', 'SB15']"
Lori Chavez-DeRemer,US,"['HB734', 'HB5']"
Lori VanWinkle,North Dakota,"['HB1301', 'HB1249', 'HB1254', 'HB1297', 'HB1333', 'HB1473', 'HB1489', 'HB1522', 'HCR3010']"
Lorissa Sweet,Indiana,['HB1118']
Lowell Russell,Tennessee,['HB0571']
Luke Meerman,Michigan,['HB4257']
Lupe Diaz,Arizona,['HB2312']
Lydia Chassaniol,Mississippi,['SB2760']
Lynn Evans,Iowa,"['SF83', 'SF110']"
Lynn Findley,Oregon,"['SB452', 'SB453', 'SB897']"
Lynn Hutchings,Wyoming,"['SF0144', 'SF0159', 'SF0172', 'SF0133']"
Lynn Stucky,Texas,"['HB1686', 'HB23']"
Mano DeAyala,Texas,"['HB1686', 'HB23']"
Marco Rubio,US,"['SB187', 'SB200', 'SB435', 'SB635', 'SR53']"
Marcus Molinaro,US,['HB5']
Marcus Richmond,Arkansas,"['SB294', 'HB1468', 'HB1615']"
Marianne Proctor,Kentucky,"['HB470', 'HB173', 'HB177', 'HB30', 'HB58']"
Mariannette Miller-Meeks,US,"['HB734', 'HB5']"
Marie March,Virginia,"['HB1387', 'HB1399', 'HB2432']"
Marilyn John,Ohio,['HB68']
Marilyn Stark,Oklahoma,['HB1449']
Mario Diaz-Balart,US,['HB5']
Marjorie Greene,US,"['HB1399', 'HB5']"
Mark Amodei,US,['HB5']
Mark Cochran,Tennessee,"['HB0001', 'HB0009', 'HB1269', 'HB0030']"
Mark Dorazio,Texas,"['HB1155', 'HB1686', 'HB23', 'HB3164', 'HB888']"
Mark Duncan,New Mexico,"['HB394', 'HB492']"
Mark Fisher,Maryland,['HB359']
Mark Green,US,"['HB734', 'HB5']"
Mark Hart,Kentucky,"['HB173', 'HB177']"
Mark Higley,Vermont,['H0183']
Mark Jennings,Wyoming,"['HB0234', 'SF0111', 'SF0159', 'SF0172', 'SF0133']"
Mark Johnson,Arkansas,"['SB270', 'SB294', 'HB1468']"
Mark Johnson,Ohio,"['HB68', 'HB6']"
Mark Lepak,Oklahoma,"['HB2546', 'HB2340']"
Mark Lofgren,Iowa,['SF83']
Mark Maynard,West Virginia,"['SB103', 'SB252', 'SB517', 'SB692', 'SB697']"
Mark McBride,Oklahoma,['HB2546']
Mark Messmer,Indiana,['SB0480']
Mark Newton,Georgia,['HB653']
Mark Peake,Virginia,"['SB960', 'SB962']"
Mark Pearson,New Hampshire,['HB396']
Mark Pody,Tennessee,"['SB0003', 'SB0596', 'SB0620']"
Mark Ross,West Virginia,['HB3183']
Mark Steffen,Kansas,['SB12']
Mark Tullos,Mississippi,['HB1125']
Mark White,Tennessee,"['HB0001', 'HB0571']"
Mark Willis,South Carolina,"['H3728', 'H3485', 'H3551', 'H3551']"
Markwayne Mullin,US,['SB635']
Marsha Blackburn,US,['SB435']
Martha Lawley,Wyoming,"['SF0111', 'SF0133']"
Martin Carbaugh,Indiana,['HB1346']
Martin Graber,Iowa,['HF2']
Marty Harbin,Georgia,"['SB140', 'SB141', 'SB88']"
Marty Overweg,South Dakota,"['HB1116', 'HB1125', 'HB1080']"
Marvin Smith,South Carolina,"['H3197', 'H3485', 'H3551', 'H3551', 'H3827']"
Mary Bentley,Arkansas,"['HB1156', 'SB199', 'SB294', 'SB43', 'HB1468', 'HB1615']"
Mary Coleman,Missouri,"['SB39', 'SB49', 'SB377']"
Mary Imes,Kentucky,"['HB470', 'HB177']"
Mary Littleton,Tennessee,['HB0001']
Mary Miller,US,"['HB734', 'HB736', 'HR115', 'HB1112', 'HB1399', 'HB5']"
Matt Brass,Georgia,"['SB140', 'SB141', 'SB88']"
Matt Brown,Arkansas,['SB294']
Matt Duffield,Arkansas,['SB294']
Matt Gaetz,US,"['HB429', 'HB734', 'HB985']"
Matt Lockett,Kentucky,"['HB470', 'HB173', 'HB177']"
Matt McKee,Arkansas,"['SB294', 'SB43']"
Matt Morgan,Maryland,['HB359']
Matt Rosendale,US,['HB1399']
Matt Schaefer,Texas,"['HB1155', 'HB1686', 'HB23', 'HB2722']"
Matt Stone,Arkansas,"['SB270', 'SB294', 'SB43']"
Matt Windschitl,Iowa,['HF2']
Matthew Heilman,North Dakota,['SB2260']
Matthew Leber,South Carolina,"['H3728', 'H3197', 'H3485', 'H3551', 'H3551', 'H3616']"
Matthew Ruby,North Dakota,"['HB1301', 'HB1332', 'HB1297']"
Matthew Shaheen,Texas,"['HB1155', 'HB1686', 'HB23', 'HB708', 'HB888']"
Matthew Shepherd,Arkansas,['SB294']
Max Burns,Georgia,['SB141']
Max Miller,US,"['HB734', 'HB5']"
Mayes Middleton,Texas,"['SB162', 'SB649', 'SB14', 'SB15']"
Mazzie Boyd,Missouri,"['HB463', 'HB498']"
Melanie Miller,Ohio,"['HB68', 'HB6']"
Melanie Scheible,Nevada,['SB302']
Melanie Sojourner,Mississippi,"['SB2760', 'SB2861', 'SB2864']"
Melissa Oremus,South Carolina,"['H3197', 'H3485', 'H3551', 'H3551']"
Michael Burgess,US,['HB5']
