Sponsors,State,Number
Michael Doherty,New Jersey,['S585']
Michael Gambrell,South Carolina,['S0332']
Michael Griffith,Maryland,['HB359']
Michael Guest,US,"['HB734', 'HR115', 'HB5']"
Michael Hale,Tennessee,['HB0001']
Michael Hornby,West Virginia,['HB3503']
Michael Kennedy,Utah,['SB0016']
Michael Lawler,US,['HB5']
Michael Lazzara,North Carolina,['S49']
Michael Lee,North Carolina,['S49']
Michael McCaul,US,['HB5']
Michael McLendon,Mississippi,['SB2760']
Michael Motschenbacher,North Dakota,['HB1333']
Michael Petersen,Utah,"['SB0283', 'HB0228']"
Michael Pollock,Kentucky,"['HB177', 'HB30']"
Michael Soboleski,Maine,['LD678']
Michael Testa,New Jersey,"['S585', 'S589']"
Michael Waltz,US,"['HB734', 'HB5']"
Michael Young,Indiana,['SB0480']
Micheal Bergstrom,Oklahoma,"['SB408', 'SB613', 'SB866']"
Michele Carringer,Tennessee,"['HB0001', 'HB0571']"
Michelle Davis,Indiana,"['HB1608', 'SB0480', 'HB1220', 'HB1232']"
Michelle Fischbach,US,['HB5']
Michelle Salzman,Florida,"['H1069', 'H1069']"
Michelle Steel,US,['HB5']
Michelle Strinden,North Dakota,['HB1139']
Mike Azinger,West Virginia,"['SB252', 'SB253', 'SB278', 'SB697']"
Mike Beltran,Florida,['H0991']
Mike Bost,US,"['HB734', 'HB5']"
Mike Braun,US,"['SB435', 'SB635']"
Mike Carey,US,['HB5']
Mike Cierpiot,Missouri,['SB14']
Mike Crapo,US,['SB200']
Mike Devault,West Virginia,"['HB2007', 'HB3176']"
Mike Dwyer,North Dakota,['HB1301']
Mike Ezell,US,"['HB734', 'HB5']"
Mike Garcia,US,['HB5']
Mike Gaskill,Indiana,['SB0480']
Mike Hoadley,Michigan,['HB4257']
Mike Johnson,US,"['HB1276', 'HB734', 'HB5']"
Mike Kelly,US,['HB5']
Mike Kingsley,Idaho,['H0071']
Mike Lee,US,['SR53']
Mike Lefor,North Dakota,['HB1205']
Mike Moon,Missouri,"['SB134', 'SB39', 'SB49', 'SB48']"
Mike Sparks,Tennessee,"['HB0001', 'HB0009', 'HB0571']"
Mike Stuart,West Virginia,['SB697']
Mike Thompson,Kansas,['SB12']
Mike Thompson,Mississippi,['SB2760']
Mike Volz,Washington,['HB1233']
Mike Vondran,Iowa,['HF2']
Mike Wilson,Kentucky,"['SB115', 'SB150']"
Mike Wobbema,North Dakota,"['HB1489', 'SB2260']"
Mindy McAlindon,Arkansas,"['HB1156', 'SB294', 'SB43', 'HB1468']"
Missy Irvin,Arkansas,"['SB270', 'SB294']"
Monica De La Cruz,US,['HB734']
Monica Robb Blasdel,Ohio,['HB68']
Monty Fritts,Tennessee,"['HB0001', 'HB0009', 'HB0030', 'HB0878', 'HB1378']"
Morgan Griffith,US,['HB734']
Morgan Meyer,Texas,"['HB1686', 'HB23']"
Myron Dossett,Kentucky,['HB177']
Nancy Mace,US,"['HB734', 'HB5']"
Nancy Tate,Kentucky,"['HB470', 'HB173', 'HB177', 'HB30', 'HB58']"
Natalie Zeleznikar,Minnesota,['HF551']
Nate Schatzline,Texas,"['HB1155', 'HB1266', 'HB1532', 'HB1686', 'HB23', 'HB4534']"
Nathan Dahm,Oklahoma,"['SB613', 'SB250', 'SB251', 'SB252']"
Nathan Toman,North Dakota,['HB1332']
Nathaniel Moran,US,"['HB736', 'HB5']"
Neal Dunn,US,"['HB734', 'HB736']"
Neal Pinnow,South Dakota,['HB1080']
Neil Friske,Michigan,['HB4257']
Neil Whaley,Mississippi,['SB2760']
Nicholas Freitas,Virginia,['HB1387']
Nicholas Langworthy,US,['HB5']
Nicholaus Kipke,Maryland,['HB359']
Nick Bain,Mississippi,['HB1125']
Nick LaLota,US,['HB734']
Nick Santucci,Ohio,['HB6']
Nick Schroer,Missouri,['SB49']
Nico Rios,North Dakota,['HB1526']
Nicole Malliotakis,US,['HB5']
Nikki McCarter,New Hampshire,['HB619']
Nino Mangione,Maryland,['HB359']
Norlin Mommsen,Iowa,['HF2']
Norman Sanderson,North Carolina,['S49']
Ogden Driskill,Wyoming,"['SF0159', 'SF0172']"
Pat Grassley,Iowa,['HF2']
Pat Marsh,Tennessee,['HB0001']
Pat McGeehan,West Virginia,['HB3503']
Patricia Rucker,West Virginia,['SB517']
Patricia Spearman,Nevada,['SB302']
Patrick Fallon,US,"['HB734', 'HB5']"
Patrick Flannery,Kentucky,"['HB470', 'HB177']"
Patrick Haddon,South Carolina,"['H3728', 'H3197', 'H3485', 'H3551', 'H3551']"
Patti Anderson,Minnesota,['HF551']
Paul Bailey,Tennessee,"['SB0001', 'SB0003']"
Paul Bettencourt,Texas,"['SB249', 'SB14', 'SB15']"
Paul Gosar,US,"['HB429', 'HB734', 'HB1399']"
Paul Newton,North Carolina,['S49']
Paul Novotny,Minnesota,['HF551']
Paul Rose,Tennessee,"['SB0001', 'SB0003', 'SB0466']"
Paul Schemel,Pennsylvania,['HB138']
Paul Sherrell,Tennessee,"['HB0001', 'HB0009', 'HB0030']"
Peggy Mayfield,Indiana,['HB1569']
Peggy Scott,Minnesota,['HF551']
Pepper Ottman,Wyoming,"['HB0234', 'SF0111', 'SF0172', 'SF0133']"
Pete Stauber,US,"['HB734', 'HB5']"
Peter Flores,Texas,['SB15']
Phil Jensen,South Dakota,"['HB1116', 'HB1125', 'HB1208', 'HCR6008', 'HB1080']"
Phil King,Texas,"['SB649', 'SB14', 'SB15']"
Phil Plummer,Ohio,"['HB68', 'HB6']"
Philip Gunn,Mississippi,"['HB1489', 'HB1125']"
Philip Moran,Mississippi,['SB2760']
Phillip Lowe,South Carolina,['H3728']
Phillip Scott,Virginia,"['HB1387', 'HB1707']"
Phillip Wheeler,Kentucky,"['SB115', 'SB150']"
Price Wallace,Mississippi,['HB1127']
Public Health and Welfare,Kansas,['SB180']
RJ Hawk,Arkansas,['SB294']
Rachel Jones,Arizona,"['SB1694', 'SB1700', 'HB2312', 'SB1698', 'SB1702']"
Rachel Plakon,Florida,"['H1421', 'H1521']"
Rachel Rodriguez-Williams,Wyoming,"['SF0159', 'SF0133']"
Rachelle Smit,Michigan,['HB4257']
Ralph Hise,North Carolina,['S49']
Ralph Massullo,Florida,"['H1069', 'H1069', 'H1421']"
Ralph Norman,US,"['HB1276', 'HB429', 'HR115', 'HB1399', 'HB5']"
Randall Patterson,Mississippi,['HB1125']
Randy Boyd,Mississippi,['HB1127']
Randy Bridges,Kentucky,"['HB470', 'HB177', 'HB30']"
Randy Feenstra,US,"['HB734', 'HB5']"
Randy Fine,Florida,"['H1223', 'H1421']"
Randy Gross,South Dakota,"['HB1116', 'HB1125', 'HB1080']"
Randy Lemm,North Dakota,['SB2260']
Randy Ligon,South Carolina,['H3485']
Randy McNally,Tennessee,['SB1339']
Randy Robertson,Georgia,"['SB141', 'SB88']"
Randy Smith,West Virginia,['SB697']
Randy Weber,US,"['HB429', 'HB734', 'HR115', 'HB1399']"
Raye Felder,South Carolina,['H3728']
Raymond Crews,Louisiana,['HB81']
Reagan Paul,Maine,['LD678']
Rebecca Alexander,Tennessee,['HB0001']
Rebecca Burkes,Arkansas,['SB294']
Rebecca Raymer,Kentucky,"['HB470', 'HB177']"
Rebecca Reimer,South Dakota,['HB1080']
Reggie Smith,Texas,"['HB1155', 'HB1686', 'HB23', 'HB3164']"
Reggie Stoltzfus,Ohio,"['HB68', 'HB6']"
Regina Birdsell,New Hampshire,['SB272']
Reuben Tarver,Wyoming,['SF0172']
Rex Rice,South Carolina,"['S0234', 'S0424']"
Rex Shipp,Utah,['HB0132']
Ric Metzgar,Maryland,['HB359']
Richard Hayes,Texas,"['HB1686', 'HB23', 'HB3164']"
Richard Heath,Kentucky,"['HB470', 'HB177', 'HB30']"
Richard Hudson,US,"['HB734', 'HB5']"
Richard McCormick,US,"['HB734', 'HB1399']"
Richard McGrew,Arkansas,['SB294']
Richard White,Kentucky,"['HB177', 'HB30']"
Richard Womack,Arkansas,['SB294']
Richard Yow,South Carolina,['H3485']
Rick Allen,US,"['HB736', 'HB5']"
Rick Beck,Arkansas,"['SB294', 'SB125']"
Rick Brattin,Missouri,"['SB39', 'SB49', 'SB390', 'SB42', 'SB598']"
Rick Eldridge,Tennessee,"['HB0001', 'HB0009', 'HB0571']"
Rick Girdler,Kentucky,"['SB150', 'SB102']"
Rick Hillenbrand,West Virginia,['HB3097']
Rick Jasperse,Georgia,['HB653']
Rick Lewis,Oregon,['SB897']
Rick McClure,Arkansas,"['SB294', 'HB1468']"
Rick Niemeyer,Indiana,['SB0480']
Rick Scott,US,['SB200']
Ricky Hill,Arkansas,"['SB294', 'SB43']"
Ricky Williams,Georgia,['SB140']
Riley Keaton,West Virginia,"['HB3097', 'HB3503']"
Riordan McClain,Ohio,['HB68']
Rob Harris,South Carolina,"['H3728', 'H3197', 'H3485', 'H3551', 'H3551', 'H3616']"
Rob Standridge,Oklahoma,"['SB613', 'SB786', 'SB787', 'SB788', 'SB789']"
Robby Robbins,South Carolina,['H3197']
Robert Aderholt,US,"['HB734', 'HR115', 'HB5']"
Robert Auth,New Jersey,"['A1418', 'A1630']"
Robert Duvall,Kentucky,['HB30']
Robert Good,US,"['HB734', 'HB1399']"
Robert Heaton,Indiana,"['HB1407', 'HB1608']"
Robert Henderson,Iowa,['HF2']
Robert Ide,Wyoming,"['SF0144', 'SF0172']"
Robert Karnes,West Virginia,"['SB103', 'SB253', 'SB697']"
Robert Kauffman,Pennsylvania,['HB138']
Robert Leadbeter,Pennsylvania,['HB138']
Robert May,South Carolina,"['H3485', 'H3551', 'H3551']"
Robert Mills,Kentucky,"['SB150', 'SB102']"
Robert Nichols,Texas,['SB15']
Robert Orrock,Virginia,['HB1707']
Robert Sampson,Connecticut,"['SB00467', 'SB00468', 'SB00544']"
Robert Wittman,US,"['HB734', 'HB5']"
Robin Grammer,Maryland,['HB359']
Robin Lundstrum,Arkansas,"['HB1156', 'SB294', 'SB43', 'HB1468', 'HB1615']"
Rochelle Nguyen,Nevada,['SB302']
Rocky De Witt,Iowa,"['SF83', 'SF110']"
Rod Bockenfeld,Colorado,['HB1092']
Rodney Creech,Ohio,"['HB68', 'HB6']"
Rodney Montoya,New Mexico,"['HB394', 'HB490', 'HB492', 'HM57']"
Roger Lynch,Arkansas,['SB294']
Roger Nutt,South Carolina,"['H3197', 'H3485', 'H3551', 'H3551']"
Roger Williams,US,['HB5']
Rollan Roberts,West Virginia,['SB103']
Ron Estes,US,"['HB734', 'HB5']"
Ron Ferguson,Ohio,['HB68']
Ron Gant,Tennessee,"['HB0001', 'HB0009']"
Ron Weinberg,Colorado,['HB1098']
Ronald Caldwell,Arkansas,['SB43']
Ronnie Campbell,Virginia,['HB1387']
Ronny Jackson,US,"['HR115', 'HB5']"
Roy Klopfenstein,Ohio,"['HB68', 'HB6']"
Roy Magnuson,South Carolina,"['H3728', 'H3197', 'H3485', 'H3551', 'H3551', 'H3616']"
Rudolph Yakym III,US,['HB734']
Rules,Alaska,"['SB96', 'HB105']"
Rules and Administration Committee,Idaho,['H0071']
Rush Bricken,Tennessee,['HB0001']
Russ Goodman,Georgia,['SB140']
Russell Webber,Kentucky,"['HB470', 'HB177', 'HB30']"
Rusty Black,Missouri,"['SB39', 'SB49']"
Rusty Crowe,Tennessee,"['SB0001', 'SB0003']"
Rusty Grills,Tennessee,"['HB0001', 'HB0009', 'HB0239', 'HB0030', 'HB0571']"
Ruth Ward,New Hampshire,['SB272']
Ryan Armagost,Colorado,['HB1098']
Ryan Berger,Wyoming,['SF0133']
Ryan Dotson,Kentucky,"['HB470', 'HB120', 'HB173', 'HB177', 'HB30']"
Ryan Guillen,Texas,"['HB1686', 'HB23']"
Ryan Lauer,Indiana,"['HB1231', 'HB1232']"
Ryan Nawrocki,Maryland,['HB359']
Ryan Rose,Arkansas,"['HB1156', 'SB294', 'SB43', 'HB1468']"
Ryan Williams,Tennessee,"['HB0001', 'HB0009', 'HB0030']"
Ryan Zinke,US,"['HB1112', 'HB5']"
Sabi Kumar,Tennessee,"['HB0001', 'HB0239']"
Sam Creekmore,Mississippi,['HB1127']
Sam Harless,Texas,"['HB1686', 'HB23']"
Sam Watson,Georgia,"['SB140', 'SB141']"
Sandy Crawford,Missouri,['SB49']
Sandy Salmon,Iowa,"['SF159', 'SF83', 'SF110', 'SF129', 'SF348']"
Sara Carruthers,Ohio,['HB8']
Sarah Fowler Arthur,Ohio,['HB68']
Sarah Penn,Wyoming,['HB0234']
Savannah Maddox,Kentucky,"['HB120', 'HB177', 'HB58']"
Scott Alexander,Indiana,['SB0480']
Scott Cepicky,Tennessee,"['HB0001', 'HB0009', 'HB1215', 'HB0878']"
Scott DeLano,Mississippi,['SB2760']
Scott DesJarlais,US,"['HB734', 'HB5']"
Scott Dyk,North Dakota,"['HB1301', 'HB1526', 'HB1522', 'SB2260']"
Scott Fitzgerald,US,"['HB734', 'HB5']"
Scott Flippo,Arkansas,"['SB294', 'SB43']"
Scott Franklin,US,['HB5']
Scott Heiner,Wyoming,"['SF0111', 'SF0144', 'SF0159']"
Scott Louser,North Dakota,"['HB1249', 'HB1489']"
Scott Meyer,North Dakota,['SB2231']
Scott Moore,South Dakota,"['HB1116', 'HB1125', 'HB1080']"
Scott Odenbach,South Dakota,"['HB1116', 'HB1125', 'HB1080']"
Scott Richardson,Arkansas,"['SB294', 'SB43']"
Scott Sharp,Kentucky,"['HB470', 'HB177', 'HB30']"
Scott Smith,Wyoming,['HB0234']
Scott Wiggam,Ohio,"['HB68', 'HB6']"
Scotty Campbell,Tennessee,"['HB0001', 'HB0009']"
Sean Bennett,South Carolina,['S0234']
Sean Kean,New Jersey,['A3883']
Shane Baker,Kentucky,"['HB470', 'HB173', 'HB177', 'HB30']"
Shane Hudella,Minnesota,['HF551']
Shane Jett,Oklahoma,"['HB2186', 'SB129', 'SB408', 'HB2177', 'SB613', 'SB1004', 'SB1007', 'SB1017', 'SB878', 'SB887', 'SB932', 'SB937', 'SB973']"
Shane Mekeland,Minnesota,['HF551']
Shane Reeves,Tennessee,"['SB0001', 'SB0003']"
Shane Sirois,New Hampshire,['HB396']
Sharon Carson,New Hampshire,['SB272']
Shawn McPherson,Kentucky,"['HB470', 'HB177', 'HB30']"
Shawn Still,Georgia,"['SB140', 'SB141', 'SB88']"
Shawn Vedaa,North Dakota,"['HB1301', 'SB2199', 'SB2199', 'HB1254']"
Sheila Seidel,New Hampshire,"['HB396', 'HB619']"
Shelby Slawson,Texas,"['HB1155', 'HB1686', 'HB23', 'HB3164', 'HB888']"
Shelley Frommeyer,Kentucky,"['SB150', 'SB102', 'SB145']"
Shelly Boshart Davis,Oregon,['SB897']
Shelly Echols,Georgia,['SB141']
Sherrie Conley,Oklahoma,"['HB1449', 'HB2177']"
Skyler Wheeler,Iowa,['HF2']
Sonia Eubanks Barker,Arkansas,"['HB1156', 'SB294', 'SB43']"
Sonny Borrelli,Arizona,['SB1694']
Spencer Roach,Florida,['H1223']
Stacey Donato,Indiana,"['HB1407', 'HB1569', 'HB1608', 'SB0480', 'SB0487']"
Stacey Hobgood-Wilkes,Mississippi,"['HB1144', 'HB1476', 'HB576']"
Stacy Jones,Wyoming,['SF0133']
Stan Gerdes,Texas,"['HB1155', 'HB1686', 'HB23', 'HB3164']"
Stan Kitzman,Texas,"['HB1155', 'HB1686', 'HB23', 'HB3164']"
Stan Lambert,Texas,['HB1686']
Stan McClain,Florida,"['H1069', 'H1069']"
State Affairs Committee,Idaho,"['S1016', 'S1003']"
Stephanie Bice,US,['HB5']
Stephanie Gricius,Utah,['SB0100']
Stephanie Klick,Texas,"['HB1686', 'HB23']"
Stephen Allison,Texas,"['HB1686', 'HB23']"
Stephen Meeks,Arkansas,['SB294']
Stephen Meredith,Kentucky,['SB150']
Stephenie Scialabba,Pennsylvania,['HB138']
Stetson Painter,Arkansas,['SB294']
Steve Bratcher,Kentucky,"['HB470', 'HB177']"
Steve Carra,Michigan,"['HB4195', 'HB4257']"
Steve Crowell,Arkansas,['SB294']
Steve Daines,US,"['SB187', 'SB635']"
Steve Demetriou,Ohio,"['HB68', 'HB6']"
Steve Gooch,Georgia,['SB141']
Steve Green,Minnesota,['SF311']
Steve Harshman,Wyoming,['SF0133']
Steve Hollowell,Arkansas,['SB294']
Steve Hopkins,Mississippi,['HB1125']
Steve Jarvis,North Carolina,['S49']
Steve Massengill,Mississippi,['HB456']
Steve Rawlings,Kentucky,"['HB470', 'HB173', 'HB177', 'HB30', 'HB58']"
Steve Scalise,US,['HB5']
Steve Toth,Texas,"['HB1155', 'HB122', 'HB1541', 'HB1686', 'HB1752', 'HB1952', 'HB23', 'HB3164', 'HB41', 'HB631', 'HB5236', 'HB5256', 'HB4378', 'HB5235']"
Steve Tyson,North Carolina,['H43']
Steve Unger,Arkansas,"['SB294', 'HB1615']"
Steven Arentz,Maryland,['HB359']
Steven Bradley,Iowa,['HF2']
Steven Doan,Kentucky,"['HB173', 'HB177', 'HB30']"
Steven Holt,Iowa,['HF2']
Steven Long,South Carolina,"['H3728', 'H3485', 'H3551', 'H3551']"
Steven Oroho,New Jersey,"['S585', 'S589']"
Steven Rudy,Kentucky,['HB470']
Stewart Jones,South Carolina,"['H3728', 'H3197', 'H3485', 'H3551', 'H3551', 'H3616', 'H3730']"
Stuart Schmidt,Maryland,['HB359']
SuAnn Olson,North Dakota,"['HB1139', 'HB1473', 'HB1474', 'HB1489', 'HCR3010']"
Sue Lucas-Peterson,South Dakota,['HB1080']
Susan Lynn,Tennessee,"['HB0001', 'HB0009', 'HB0030', 'HB0878']"
Susan Manchester,Ohio,"['HB68', 'HB6']"
Susan McComas,Maryland,['HB359']
Susan Tyler Witten,Kentucky,"['HB173', 'HB177']"
Sylleste Davis,South Carolina,"['H3197', 'H3551', 'H3551', 'H3827']"
Tamara Trujillo,Wyoming,['SF0133']
Tammy Nichols,Idaho,['H0071']
Tammy Schmersal-Burgess,Maine,['LD678']
Tammy Townley,Oklahoma,['HB1449']
Tan Parker,Texas,"['SB1029', 'SB249', 'SB250', 'SB625', 'SB14', 'SB15']"
Tandy Darby,Tennessee,['HB0001']
Tara Durant,Virginia,"['HB1387', 'HB1707', 'HB2432']"
Taylor Collins,Iowa,['HF2']
Taylor Yarkosky,Florida,['H1265']
Ted Alexander,North Carolina,['S49']
Ted Budd,US,['SB435']
Ted Cruz,US,"['SB457', 'SB635', 'SR53']"
Teresa Reilly,Maryland,['HB359']
Terri Leo-Wilson,Texas,"['HB1155', 'HB122', 'HB1541', 'HB1686', 'HB1752', 'HB23', 'HB3164', 'HB319', 'HB631', 'HB888']"
Terri Williams,Vermont,['H0183']
Terry Baker,Maryland,['HB359']
Terry O'Donnell,Oklahoma,"['HB2546', 'HB1011']"
Terry Rice,Arkansas,['SB43']
Terry Roy,New Hampshire,['HB619']
Terry Wilson,Texas,"['HB122', 'HB1686', 'HB1752', 'HB23', 'HB3164', 'HB319', 'HB41']"
Thaddeus Claggett,Ohio,['HB68']
Theresa Manzella,Montana,['SB337']
Thomas Beach,South Carolina,"['H3197', 'H3485', 'H3551', 'H3551', 'H3611', 'H3616', 'H3730']"
Thomas Davis,South Carolina,"['S0234', 'S0424']"
Thomas Gerhold,Iowa,['HF2']
Thomas Hall,Ohio,"['HB68', 'HB6']"
Thomas Huff,Kentucky,"['HB173', 'HB177', 'HB30']"
Thomas Jeneary,Iowa,['HF2']
Thomas Jones,Pennsylvania,['HB138']
Thomas McInnis,North Carolina,['S49']
Thomas McKay,Alaska,['HB27']
Thomas Patton,Ohio,['HB68']
Thomas Pope,South Carolina,['H3485']
Thomas Wright,Virginia,['HB1387']
Tim Barhorst,Ohio,"['HB68', 'HB6']"
Tim French,Wyoming,"['SF0144', 'SF0172', 'SF0133']"
Tim Hicks,Tennessee,['HB0001']
Tim Rudd,Tennessee,"['HB0001', 'HB1215', 'HB0878', 'HB0571']"
Tim Salazar,Wyoming,"['SF0172', 'SF0133']"
Tim Scott,US,['SB200']
Tim Walberg,US,"['HB734', 'HB736', 'HB5']"
Timmy Truett,Kentucky,"['HB470', 'HB177', 'HB30']"
Timothy Lang,New Hampshire,['SB272']
Timothy Moffitt,North Carolina,['S49']
Timothy Wesco,Indiana,"['SB0480', 'HB1346']"
Tina Mulally,South Dakota,"['HB1116', 'HB1125', 'HB1080']"
Todd Beard,North Dakota,"['HB1526', 'HB1522']"
Todd Johnson,North Carolina,['S49']
Todd Jones,Georgia,['HB653']
Todd Kirby,West Virginia,"['HB2007', 'HB2998', 'HB3001', 'HB3503']"
Todd Longanacre,West Virginia,"['HB3176', 'HB3183', 'HB3503']"
Todd Morgan,Maryland,['HB359']
Todd Warner,Tennessee,"['HB0001', 'HB0009', 'HB0030']"
Todd Weiler,Utah,['SB0100']
Tom Cotton,US,['SB635']
Tom Craddick,Texas,['HB23']
Tom Emmer,US,['HB5']
Tom Fast,West Virginia,['HB3097']
Tom Gann,Oklahoma,"['HB2186', 'HB2177', 'HB1377']"
Tom Hartnett,South Carolina,['H3197']
Tom Leatherwood,Tennessee,"['HB0001', 'HB0009']"
Tom McClintock,US,"['HB734', 'HB5']"
Tom Moore,Iowa,['HF2']
Tom Oliverson,Texas,"['HB1155', 'HB1686', 'HB23', 'HB319']"
Tom Pischke,South Dakota,"['HB1116', 'HB1125', 'HB1208', 'HCR6008', 'HB1080']"
Tom Smith,Kentucky,"['HB177', 'HB30']"
Tom Tiffany,US,"['HB734', 'HB5']"
Tom Walters,Wyoming,['SF0111']
Tom Woods,Oklahoma,"['SB129', 'SB613']"
Tom Young,Ohio,"['HB68', 'HB6']"
Tomi Strock,Wyoming,['SF0111']
Tommy Tuberville,US,['SB435']
Toni Hasenbeck,Oklahoma,"['HB1449', 'SB408', 'SB613']"
Tony Furman,Arkansas,['SB294']
Tony Luetkemeyer,Missouri,"['SB39', 'SB49', 'SB29']"
Tony Randolph,South Dakota,"['HB1116', 'HB1125', 'HB1080']"
Tony Tinderholt,Texas,"['HB1686', 'HB23', 'HB4754']"
Tracey Mann,US,['HB5']
Tracy Cramer,Oregon,['HB2477']
Tracy Richardson,Ohio,['HB6']
Travis Clardy,Texas,"['HB1686', 'HB23']"
Travis Fitzwater,Missouri,"['SB39', 'SB49']"
Travis Moore,South Carolina,['H3485']
Trent Ashby,Texas,"['HB1686', 'HB23']"
Trent Kelly,US,['HB5']
Trish Ladner,South Dakota,['HB1080']
Troy Balderson,US,"['HB734', 'HB5']"
Troy McKeown,Wyoming,"['SF0111', 'SF0144', 'SF0172', 'SF0133']"
Troy Nehls,US,"['HB1399', 'HB5', 'HB985']"
Ty Winter,Colorado,['HB1098']
Tyler Dees,Arkansas,"['SB294', 'SB43']"
Tyler Johnson,Indiana,['SB0480']
Tyler McCaughn,Mississippi,['SB2760']
Val Guest,South Carolina,"['H3551', 'H3551']"
Valoree Swanson,Texas,"['HB1155', 'HB1686', 'HB23', 'HB2862', 'HB3147', 'HB3164', 'HB3213']"
Vern Buchanan,US,['HB5']
Vickie Sawyer,North Carolina,['S49']
Vicky Steiner,North Dakota,"['HB1332', 'HB1205', 'HB1297', 'HB1473', 'HB1474', 'HB1489', 'HCR3010']"
Vince Deeds,West Virginia,['SB252']
Vince Mangold,Mississippi,['HB1127']
Virginia Foxx,US,"['HB734', 'HR115', 'HB5']"
Virgle Osborne,Oregon,['SB897']
Vito Barbieri,Idaho,['H0071']
Wade Andrews,Arkansas,['SB294']
Wade Williams,Kentucky,"['HB470', 'HB177', 'HB30']"
Walker Thomas,Kentucky,"['HB470', 'HB173', 'HB177', 'HB30']"
Wallace Jordan,South Carolina,['H3728']
Walter Hudson,Minnesota,"['HF1903', 'HF551']"
Walter Michel,Mississippi,['SB2760']
Warren Daniel,North Carolina,['S49']
Warren Davidson,US,['HB734']
Warren Hamilton,Oklahoma,"['SB129', 'SB408', 'SB613', 'SB131', 'SB30', 'SB345']"
Wayne Clark,West Virginia,['HB2007']
Wayne Harper,Utah,['HB0132']
Wayne Hartman,Maryland,['HB359']
Wayne Long,Arkansas,"['HB1156', 'SB43', 'HB1468', 'HB1615']"
Wendell Walker,Virginia,"['HB1387', 'HB2432']"
Wendy Davis Schuler,Wyoming,"['HB0187', 'SF0111', 'SF0133']"
Werner Reschke,Oregon,['SB897']
Wesley Hunt,US,"['HB734', 'HB5']"
Weston Newton,South Carolina,['H3728']
William Arnold,Mississippi,"['HB1127', 'HB1125']"
William Chumley,South Carolina,"['H3197', 'H3485', 'H3551', 'H3551']"
William Eigel,Missouri,"['SB49', 'SB281', 'SB497', 'SB693']"
William Gannon,New Hampshire,['SB272']
William Henderson,Wyoming,['SF0133']
William Herbkersman,South Carolina,['H3728']
William Hewitt,South Carolina,['H3728']
William Hixon,South Carolina,['H3485']
William Lamberth,Tennessee,"['HB0001', 'HB0239', 'HB1269']"
William Metcalf,Texas,"['HB1155', 'HB1686', 'HB23', 'HB3164', 'HB631', 'HB888']"
William Ridenour,West Virginia,['HB3183']
William Shorma,South Dakota,['HB1116']
William Slater,Tennessee,"['HB0001', 'HB0009', 'HB0030', 'HB0878']"
William Timmons,US,"['HB734', 'HB736']"
William Valentine,Maryland,['HB359']
William Wivell,Maryland,['HB359']
Wren Williams,Virginia,"['HB1387', 'HB1707', 'HB2432']"
Zach Payne,Indiana,['HB1118']
Zachary Nunn,US,['HB5']
Zack Gramlich,Arkansas,['SB294']
committee for review of Administrative Rules,Wisconsin,['SB4']
